Rank,First Name,Last Name,Country,Cost
1,Jannik,Sinner,Italy,15.00
2,Carlos,Alcaraz,Spain,15.00
3,Alexander,Zverev,Germany,15.00
4,Taylor,Fritz,USA,15.00
5,Jack,Draper,Great Britain,15.00
6,Ben,Shelton,USA,12.00
7,Novak,Djokovic,Serbia,12.00
8,Alex,de Minaur,Australia,12.00
9,Karen,Khachanov,Neutral,12.00
10,Lorenzo,Musetti,Italy,12.00
11,Holger,Rune,Denmark,10.00
12,Casper,Ruud,Norway,10.00
13,Daniil,Medvedev,Neutral,10.00
14,Tommy,Paul,USA,10.00
15,Andrey,Rublev,Neutral,10.00
16,Jakub,Mensik,Czechia,10.00
17,Frances,Tiafoe,USA,10.00
18,Alejandro,Davidovich Fokina,Spain,10.00
19,Francisco,Cerundolo,Argentina,10.00
20,Arthur,Fils,France,10.00
21,Jiri,Lehecka,Czechia,7.00
22,Tomas,Machac,Czechia,7.00
23,Ugo,Humbert,France,7.00
24,Alexander,Bublik,Kazakhstan,7.00
25,Grigor,Dimitrov,Bulgaria,7.00
26,Flavio,Cobolli,Italy,7.00
27,Felix,Auger-Aliassime,Canada,7.00
28,Stefanos,Tsitsipas,Greece,7.00
29,Denis,Shapovalov,Canada,7.00
30,Tallon,Griekspoor,Netherlands,7.00
31,Brandon,Nakashima,USA,7.00
32,Alex,Michelsen,USA,7.00
33,Gabriel,Diallo,Canada,7.00
34,Luciano,Darderi,Italy,7.00
35,Cameron,Norrie,Great Britain,7.00
36,Alexei,Popyrin,Australia,7.00
37,Giovanni,Mpetshi Perricard,France,7.00
38,Alexandre,Muller,France,7.00
39,Sebastian,Baez,Argentina,7.00
40,Corentin,Moutet,France,7.00
41,Nuno,Borges,Portugal,7.00
42,Miomir,Kecmanovic,Serbia,7.00
43,Camilo,Ugo Carabelli,Argentina,7.00
44,Jaume,Munar,Spain,7.00
45,Joao,Fonseca,Brazil,7.00
46,Lorenzo,Sonego,Italy,7.00
47,Roberto,Bautista Agut,Spain,7.00
48,Zizou,Bergs,Belgium,7.00
49,Gael,Monfils,France,7.00
50,Learner,Tien,USA,7.00
51,Benjamin,Bonzi,France,5.00
52,Matteo,Berrettini,Italy,5.00
53,Fabian,Marozsan,Hungary,5.00
54,Francisco,Comesana,Argentina,5.00
55,Marcos,Giron,USA,5.00
56,Daniel,Altmaier,Germany,5.00
57,Hamad,Medjedovic,Serbia,5.00
58,Jordan,Thompson,Australia,5.00
59,Tomas Martin,Etcheverry,Argentina,5.00
60,Jacob,Fearnley,Great Britain,5.00
61,Damir,Dzumhur,Bosnia & Herzegovina,5.00
62,Marin,Cilic,Croatia,5.00
63,Marton,Fucsovics,Hungary,5.00
64,Matteo,Arnaldi,Italy,5.00
65,Mattia,Bellucci,Italy,5.00
66,Pedro,Martinez,Spain,5.00
67,Reilly,Opelka,USA,5.00
68,Hubert,Hurkacz,Poland,5.00
69,Terence,Atmane,France,5.00
70,Quentin,Halys,France,5.00
71,Aleksandar,Kovacevic,USA,5.00
72,Laslo,Djere,Serbia,5.00
73,Botic,Van de Zandschulp,Netherlands,5.00
74,Yunchaokete,Bu,China,5.00
75,Sebastian,Korda,USA,5.00
76,Kamil,Majchrzak,Poland,5.00
77,Adrian,Mannarino,France,5.00
78,Mariano,Navone,Argentina,5.00
79,Arthur,Cazaux,France,5.00
80,David,Goffin,Belgium,5.00
81,Christopher,O'Connell,Australia,5.00
82,Arthur,Rinderknech,France,5.00
83,Jesper,De Jong,Netherlands,5.00
84,Ethan,Quinn,USA,5.00
85,Adam,Walton,Australia,5.00
86,Luca,Nardi,Italy,5.00
87,Roberto,Carballes Baena,Spain,5.00
88,Juan Manuel,Cerundolo,Argentina,5.00
89,Vit,Kopriva,Czechia,5.00
90,Kei,Nishikori,Japan,5.00
91,Alexander,Shevchenko,Kazakhstan,5.00
92,Jenson,Brooksby,USA,5.00
93,Filip,Misolic,Austria,5.00
94,Roman,Safiullin,Neutral,5.00
95,Aleksandar,Vukic,Australia,5.00
96,Tristan,Schoolkate,Australia,5.00
97,Dalibor,Svrcina,Czechia,5.00
98,Valentin,Royer,France,5.00
99,Carlos,Taberner,Spain,5.00
